campaign_key,campaign_name,channel_key,segment,launch_date
CMP001,Aggregate Global E-Commerce Campaign,CH06,SMB,2024-08-27
CMP002,Engage Next-Generation Schemas Campaign,CH07,Mid-Market,2025-07-11
CMP003,Mesh 24/7 Web-Readiness Campaign,CH06,Enterprise,2025-06-29
CMP004,Unleash Customized Platforms Campaign,CH07,SMB,2024-02-17
CMP005,Envisioneer Extensible E-Services Campaign,CH06,Mid-Market,2025-10-03
CMP006,Orchestrate Sticky Infrastructures Campaign,CH07,Enterprise,2024-10-22
CMP007,Re-Contextualize Cross-Platform Markets Campaign,CH06,SMB,2024-01-28
CMP008,Brand Interactive Functionalities Campaign,CH07,Mid-Market,2025-09-03
CMP009,Architect Scalable Models Campaign,CH06,Enterprise,2025-04-07
CMP010,Drive Out-Of-The-Box Relationships Campaign,CH07,SMB,2025-02-02
