campaign_key,campaign_name,segment,launch_date
CMP001,Optimize Wireless Systems Campaign,SMB,2024-10-20
CMP002,Mesh Visionary Info-Mediaries Campaign,Mid-Market,2025-03-11
CMP003,Engage Innovative Solutions Campaign,Enterprise,2024-02-23
CMP004,Target Dot-Com Mindshare Campaign,SMB,2024-02-27
CMP005,Re-Intermediate Leading-Edge Eyeballs Campaign,Mid-Market,2025-06-19
CMP006,Synergize Robust Schemas Campaign,Enterprise,2025-06-26
CMP007,Utilize Plug-And-Play Metrics Campaign,SMB,2024-10-26
CMP008,Deliver 24/7 Convergence Campaign,Mid-Market,2024-09-17
CMP009,Unleash Cutting-Edge Bandwidth Campaign,Enterprise,2024-09-15
CMP010,Iterate Plug-And-Play Experiences Campaign,SMB,2025-02-20
CMP011,Maximize Out-Of-The-Box Niches Campaign,Mid-Market,2024-06-26
